id,input,expected_output,llm_answer
1,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""乙醯胺酚""",Acetaminophen,"乙醯胺酚 (Yǐ xī àn mǐn fèn) 的英文名稱是 **Acetaminophen**。
"
2,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Acetaminophen""",乙醯胺酚,"""Acetaminophen"" 的中文名稱是 **撲熱息痛**。
"
5,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿斯匹林""",Aspirin,"Aspirin
"
6,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Aspirin""",阿斯匹林,"阿司匹林
"
9,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿布帖醇硫酸鹽""",Albuterol Sulfate,"""阿布帖醇硫酸鹽"" 的英文名稱是 **Abametapir sulfate**。
"
10,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Albuterol Sulfate""",阿布帖醇硫酸鹽,"Albuterol Sulfate 的中文名稱是 **沙丁胺醇硫酸鹽**。
"
13,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿曼他丁鹽酸鹽""",Amantadine Hydrochloride,"阿曼他丁鹽酸鹽 (Āmāntādīng yánsuān yán) 的英文名稱是 **Amantadine Hydrochloride**.
"
14,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Amantadine Hydrochloride""",阿曼他丁鹽酸鹽,"Amantadine Hydrochloride 的中文名稱是：**盐酸金刚烷胺**
"
17,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""艾米康絲菌素硫酸鹽""",Amikacin Sulfate,"艾米康絲菌素硫酸鹽 (Amikacin sulfate)
"
18,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Amikacin Sulfate""",艾米康絲菌素硫酸鹽,"阿米卡星硫酸鹽
"
21,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""白喉疫苗""",Diphtheria Vaccine,"Diphtheria vaccine
"
22,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria Vaccine""",白喉疫苗,"""Diphtheria Vaccine"" 的中文名稱是：**白喉疫苗**
"
25,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""吸附白喉 - 破傷風混合疫苗""",Diphtheria and Tetanus Vaccine Adsorbed,"Adsorbed Diphtheria and Tetanus Toxoids and Pertussis Vaccine (Whole Cell)
"
26,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria and Tetanus Vaccine Adsorbed""",吸附白喉 - 破傷風混合疫苗,"破傷風和白喉吸附疫苗
"
29,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""成人用吸附白喉 - 破傷風混合疫苗""",Diphtheria and Tetanus Vaccine Adsorbed for Adult Use,"Adult Use Adsorbed Diphtheria-Tetanus Mixed Vaccine
"
30,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria and Tetanus Vaccine Adsorbed for Adult Use""",成人用吸附白喉 - 破傷風混合疫苗,"破傷風和白喉吸附疫苗（成人用）
"
