id,input,expected_output,llm_answer,分數,原因
1,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""乙醯胺酚""",Acetaminophen,"乙醯胺酚 (Yǐ xiān àn fěn) 的英文名稱是 **Acetaminophen**。

在美國和加拿大，它也常被稱為 **Paracetamol**。",100,完全命中
2,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Acetaminophen""",乙醯胺酚,"Acetaminophen 的中文名稱是 **對乙醯胺酚**。

它也常被稱為 **撲熱息痛**。",90,翻譯為常見異名（對乙醯胺酚）
5,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿斯匹林""",Aspirin,"阿斯匹林 (Ā sī pī lín) 的英文名稱是 **Aspirin**。
",100,完全命中
6,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Aspirin""",阿斯匹林,"Aspirin 的中文名稱是 **阿斯匹靈**。
",90,翻譯為常見異名（阿斯匹靈）
9,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿布帖醇硫酸鹽""",Albuterol Sulfate,"""阿布帖醇硫酸鹽"" 的英文名稱是 **AbobotulinumtoxinA sulfate**。
",0,翻譯錯誤，將阿布帖醇翻成肉毒桿菌毒素
10,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Albuterol Sulfate""",阿布帖醇硫酸鹽,"Albuterol Sulfate 的中文名稱是 **沙丁胺醇硫酸鹽**。
",90,翻譯為常見異名（沙丁胺醇）
13,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""阿曼他丁鹽酸鹽""",Amantadine Hydrochloride,"阿曼他丁鹽酸鹽 的英文名稱是 **Amantadine Hydrochloride**。
",100,完全命中
14,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Amantadine Hydrochloride""",阿曼他丁鹽酸鹽,"""Amantadine Hydrochloride"" 的中文名稱是 **阿曼他定鹽酸鹽**。
",90,翻譯用字微小差異（丁 vs 定）
17,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""艾米康絲菌素硫酸鹽""",Amikacin Sulfate,"艾米康絲菌素硫酸鹽 的英文名稱是 **Amphotericin B sulfate**。
",0,翻譯錯誤，翻成兩性黴素B
18,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Amikacin Sulfate""",艾米康絲菌素硫酸鹽,"Amikacin Sulfate 的中文名稱是：**阿米卡星硫酸鹽**。
",90,翻譯為常見異名（阿米卡星）
21,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""白喉疫苗""",Diphtheria Vaccine,"白喉疫苗 (Bái hóu yìmiáo) 的英文名稱是 **Diphtheria vaccine**。

*   **Diphtheria** 指的是白喉這種疾病。
*   **Vaccine** 指的是疫苗。",100,完全命中（忽略大小寫差異）
22,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria Vaccine""",白喉疫苗,"""Diphtheria Vaccine"" 的中文名稱是 **白喉疫苗**。
",100,完全命中
25,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""吸附白喉 - 破傷風混合疫苗""",Diphtheria and Tetanus Vaccine Adsorbed,"""吸附白喉 - 破傷風混合疫苗"" 的英文名稱是 **Diphtheria and Tetanus Toxoids Adsorbed**。

*   **Diphtheria and Tetanus Toxoids:** 指白喉和破傷風的類毒素。
*   **Adsorbed:** 指吸附，通常是吸附在鋁鹽佐劑上，以增強免疫反應。

因此，完整的英文名稱是 Diphtheria and Tetanus Toxoids Adsorbed。",80,意義相近，但使用了 Toxoids 而非 Vaccine
26,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria and Tetanus Vaccine Adsorbed""",吸附白喉 - 破傷風混合疫苗,"""Diphtheria and Tetanus Vaccine Adsorbed"" 的中文名稱是：**吸附破傷風與白喉疫苗**。
",80,疾病名稱順序顛倒（破傷風與白喉）
29,"請閱讀以下中文醫藥名稱，並輸出其對應的英文名稱：""成人用吸附白喉 - 破傷風混合疫苗""",Diphtheria and Tetanus Vaccine Adsorbed for Adult Use,"""成人用吸附白喉 - 破傷風混合疫苗"" 的英文名稱是 **Adsorbed Diphtheria-Tetanus Vaccine (Adult)**。

*   **Adsorbed:** 指疫苗中的抗原吸附在佐劑（通常是鋁鹽）上，以增強免疫反應。
*   **Diphtheria-Tetanus:** 指疫苗包含白喉和破傷風兩種抗原。
*   **Vaccine:** 疫苗。
*   **(Adult):** 表明此疫苗是為成人設計的。

有時也可能簡稱為 **DT Vaccine (Adult)**。",80,詞彙順序與格式略有不同
30,"請閱讀以下英文醫藥名稱，並輸出其對應的中文名稱：""Diphtheria and Tetanus Vaccine Adsorbed for Adult Use""",成人用吸附白喉 - 破傷風混合疫苗,"好的，這款藥品的中文名稱是：**破傷風與白喉疫苗（成人用）**。

*   **Diphtheria** = 白喉
*   **Tetanus** = 破傷風
*   **Vaccine** = 疫苗
*   **Adsorbed** = 吸附的 (表示疫苗中的抗原吸附在佐劑上，以增強免疫反應)
*   **for Adult Use** = 成人用

因此，完整中文名稱為「破傷風與白喉疫苗（成人用）」。",80,疾病名稱順序顛倒且缺少「吸附」字眼
